Dataset,#TrainingRelease,%Training (data on training / total data),%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
openjpaProportion_without_duplicated_lines,18,0.914,0.719,0.702,Ibk,OVERSAMPLING,NONE,NONE,331.0,79.0,150.0,209.0,0.807,0.613,0.638,0.23
openjpaProportion_without_duplicated_lines,19,0.95,0.719,0.695,RandomForest,OVERSAMPLING,NONE,NONE,558.0,93.0,235.0,190.0,0.857,0.746,0.8,0.427
openjpaProportion_without_duplicated_lines,19,0.95,0.719,0.695,NaiveBayes,OVERSAMPLING,NONE,NONE,406.0,18.0,310.0,342.0,0.958,0.543,0.785,0.382
openjpaProportion_without_duplicated_lines,19,0.95,0.719,0.695,Ibk,OVERSAMPLING,NONE,NONE,563.0,115.0,213.0,185.0,0.83,0.753,0.749,0.379
openjpaProportion_without_duplicated_lines,1,0.042,0.66,0.707,RandomForest,UNDERSAMPLING,NONE,NONE,32.0,3.0,229.0,527.0,0.914,0.057,0.756,0.027
openjpaProportion_without_duplicated_lines,1,0.042,0.66,0.707,NaiveBayes,UNDERSAMPLING,NONE,NONE,115.0,6.0,226.0,444.0,0.95,0.206,0.672,0.116
openjpaProportion_without_duplicated_lines,1,0.042,0.66,0.707,Ibk,UNDERSAMPLING,NONE,NONE,92.0,4.0,228.0,467.0,0.958,0.165,0.574,0.093
openjpaProportion_without_duplicated_lines,2,0.079,0.682,0.787,RandomForest,UNDERSAMPLING,NONE,NONE,362.0,50.0,100.0,192.0,0.879,0.653,0.745,0.238
openjpaProportion_without_duplicated_lines,2,0.079,0.682,0.787,NaiveBayes,UNDERSAMPLING,NONE,NONE,219.0,5.0,145.0,335.0,0.978,0.395,0.79,0.201
openjpaProportion_without_duplicated_lines,2,0.079,0.682,0.787,Ibk,UNDERSAMPLING,NONE,NONE,235.0,16.0,134.0,319.0,0.936,0.424,0.665,0.183
openjpaProportion_without_duplicated_lines,3,0.111,0.713,0.783,RandomForest,UNDERSAMPLING,NONE,NONE,267.0,12.0,99.0,133.0,0.957,0.667,0.817,0.401
openjpaProportion_without_duplicated_lines,3,0.111,0.713,0.783,NaiveBayes,UNDERSAMPLING,NONE,NONE,119.0,4.0,107.0,281.0,0.967,0.297,0.778,0.138
openjpaProportion_without_duplicated_lines,3,0.111,0.713,0.783,Ibk,UNDERSAMPLING,NONE,NONE,288.0,35.0,76.0,112.0,0.892,0.72,0.782,0.324
openjpaProportion_without_duplicated_lines,4,0.135,0.725,0.788,RandomForest,UNDERSAMPLING,NONE,NONE,330.0,26.0,90.0,102.0,0.927,0.764,0.853,0.435
openjpaProportion_without_duplicated_lines,4,0.135,0.725,0.788,NaiveBayes,UNDERSAMPLING,NONE,NONE,148.0,7.0,109.0,284.0,0.955,0.343,0.782,0.151
openjpaProportion_without_duplicated_lines,4,0.135,0.725,0.788,Ibk,UNDERSAMPLING,NONE,NONE,349.0,47.0,69.0,83.0,0.881,0.808,0.802,0.362
openjpaProportion_without_duplicated_lines,5,0.16,0.735,0.908,RandomForest,UNDERSAMPLING,NONE,NONE,702.0,23.0,86.0,368.0,0.968,0.656,0.781,0.184
openjpaProportion_without_duplicated_lines,5,0.16,0.735,0.908,NaiveBayes,UNDERSAMPLING,NONE,NONE,367.0,13.0,96.0,703.0,0.966,0.343,0.831,0.058
openjpaProportion_without_duplicated_lines,5,0.16,0.735,0.908,Ibk,UNDERSAMPLING,NONE,NONE,864.0,44.0,65.0,206.0,0.952,0.807,0.801,0.242
openjpaProportion_without_duplicated_lines,6,0.215,0.779,0.778,RandomForest,UNDERSAMPLING,NONE,NONE,362.0,47.0,86.0,104.0,0.885,0.777,0.81,0.367
openjpaProportion_without_duplicated_lines,6,0.215,0.779,0.778,NaiveBayes,UNDERSAMPLING,NONE,NONE,180.0,22.0,111.0,286.0,0.891,0.386,0.697,0.129
openjpaProportion_without_duplicated_lines,6,0.215,0.779,0.778,Ibk,UNDERSAMPLING,NONE,NONE,382.0,70.0,63.0,84.0,0.845,0.82,0.707,0.283
openjpaProportion_without_duplicated_lines,7,0.243,0.779,0.889,RandomForest,UNDERSAMPLING,NONE,NONE,582.0,44.0,116.0,699.0,0.93,0.454,0.683,0.064
openjpaProportion_without_duplicated_lines,7,0.243,0.779,0.889,NaiveBayes,UNDERSAMPLING,NONE,NONE,376.0,13.0,147.0,905.0,0.967,0.294,0.705,0.062
openjpaProportion_without_duplicated_lines,7,0.243,0.779,0.889,Ibk,UNDERSAMPLING,NONE,NONE,695.0,53.0,107.0,586.0,0.929,0.543,0.638,0.086
