Version,File Name,LOC,NR,NFix,NAuth,LOC_added,MAX_LOC_added,Churn,MAX_Churn,Age,Buggy
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,79,2,0,2,127,124,124,124,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,114,4,0,4,167,159,160,159,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,13,2,0,2,41,36,36,36,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,31,2,0,2,60,57,58,57,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,35,1,0,1,62,62,62,62,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,74,4,0,4,142,129,130,129,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,42,2,0,2,76,73,74,73,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,55,3,0,3,86,82,83,82,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,41,1,0,1,74,74,74,74,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,14,2,0,2,50,48,48,48,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,25,2,0,2,61,60,60,60,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,37,3,0,3,76,70,70,70,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,140,4,0,4,202,180,183,180,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,24,1,0,1,53,53,53,53,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,305,4,1,4,472,450,452,450,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,16,1,0,1,39,39,39,39,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,43,2,0,2,82,78,78,78,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,28,2,0,2,65,64,64,64,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,5,2,0,2,32,31,31,31,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,7,2,0,2,61,57,57,57,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,13,2,0,2,111,104,104,104,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,11,1,0,1,32,32,32,32,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,178,3,0,3,279,226,227,226,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,125,4,1,4,208,187,197,187,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,12,2,0,2,81,75,75,75,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java,7,1,0,1,28,28,28,28,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,26,2,0,2,54,52,52,52,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,325,3,0,3,506,428,429,428,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,62,2,0,2,134,104,104,104,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,13,1,0,1,35,35,35,35,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,67,2,0,2,99,98,98,98,35,No
1,hedwig-server/src/test/java/org/apache/hedwig/HelperMethods.java,34,2,0,2,60,57,58,57,35,No
1,hedwig-server/src/test/java/org/apache/hedwig/StubCallback.java,25,1,0,1,51,51,51,51,35,No
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubScanCallback.java,22,3,0,2,112,57,105,57,35,No
1,hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java,181,3,0,3,250,230,230,230,35,Yes
1,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java,76,3,0,3,138,133,134,133,35,Yes
1,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigRegionTestBase.java,132,4,0,4,230,221,222,221,35,Yes
1,hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java,32,2,0,2,64,61,62,61,35,Yes
1,hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java,78,3,1,3,133,128,129,128,12,Yes
1,hedwig-server/src/test/java/org/apache/hedwig/server/delivery/StubDeliveryManager.java,37,2,0,2,68,65,65,65,35,Yes
