@relation openjpaProportion-weka.filters.unsupervised.attribute.SwapValues-Clast-Ffirst-Slast-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute Version numeric
@attribute LOC numeric
@attribute NR numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute Age numeric
@attribute Buggy {Yes,No}

@data
1,68,6,0,6,236,108,108,102,45,No
1,20,8,0,8,250,108,104,102,45,Yes
1,200,8,1,8,639,308,308,294,45,Yes
1,8,7,0,7,105,41,39,34,45,No
1,183,12,0,12,1028,467,493,453,45,Yes
1,45,7,0,7,189,83,82,78,45,Yes
1,11,7,0,7,97,37,36,32,45,Yes
1,50,10,0,10,207,88,87,83,45,Yes
1,52,8,0,8,203,88,91,83,45,Yes
1,51,7,0,7,203,90,89,85,45,Yes
1,10,7,0,7,95,36,35,31,45,Yes
1,53,7,0,7,207,92,91,87,45,Yes
1,52,6,0,6,167,52,138,52,33,Yes
1,53,8,0,8,201,87,90,82,45,Yes
1,42,7,0,7,176,77,76,72,45,Yes
1,32,7,0,7,158,67,66,62,45,Yes
1,29,7,0,7,144,61,60,56,45,Yes
1,70,8,0,8,265,121,119,114,45,Yes
1,35,7,0,7,415,194,190,187,45,Yes
1,54,10,1,10,624,289,279,282,45,Yes
1,7,8,0,8,137,53,53,50,45,No
1,395,48,8,37,6044,2249,2643,2108,45,Yes
1,29,11,1,11,155,65,59,59,45,Yes
1,6,8,0,8,124,48,48,45,45,No
1,40,8,0,8,187,80,77,74,45,No
1,6,7,0,7,104,40,40,37,45,No
1,238,9,0,9,723,353,350,330,45,Yes
1,122,6,0,6,426,208,207,190,45,No
1,130,8,1,8,459,214,213,201,45,Yes
1,5,7,0,7,95,36,36,33,45,No
1,15,6,0,6,168,70,70,66,45,No
1,621,16,0,16,1771,838,850,800,45,Yes
1,2155,39,3,39,6328,3026,3029,2831,45,Yes
1,75,10,0,10,945,437,435,430,45,Yes
1,55,13,0,13,985,427,423,416,45,Yes
1,72,10,0,10,708,314,319,308,45,Yes
1,26,7,0,7,144,61,60,55,45,Yes
1,10,7,0,7,100,38,37,33,45,Yes
1,27,6,0,6,150,64,64,59,45,Yes
1,87,6,0,6,293,136,135,131,45,No
1,10,7,0,7,97,37,36,32,45,Yes
1,26,6,0,6,146,63,63,58,45,Yes
1,240,16,2,16,694,333,331,310,45,Yes
1,55,9,1,9,324,140,137,132,45,Yes
1,299,10,0,10,970,484,483,447,45,Yes
1,12,4,0,4,62,24,39,24,39,No
1,11,6,0,6,98,38,38,34,45,No
1,12,7,0,7,168,69,69,65,45,No
1,44,8,0,8,207,88,90,82,45,No
1,5,6,0,6,81,30,30,26,45,No
1,13,6,0,6,111,44,44,40,45,No
1,35,7,0,7,195,86,82,82,45,No
1,121,9,0,9,378,170,184,158,45,Yes
1,39,7,0,7,177,75,73,70,45,No
1,4,7,0,7,85,31,30,27,45,No
1,12,6,0,6,109,43,43,39,45,No
1,11,6,0,6,100,39,39,35,45,No
1,4,7,0,7,80,26,30,23,45,Yes
1,73,8,0,8,851,404,406,398,45,Yes
1,14,6,0,6,144,61,61,57,45,No
1,7,4,0,4,69,31,46,31,39,No
1,12,7,0,7,213,89,86,82,45,No
1,12,6,0,6,101,40,39,35,45,No
1,12,6,0,6,101,40,39,35,45,Yes
1,497,9,0,9,1453,725,725,688,45,Yes
1,12,7,0,7,119,48,48,44,45,Yes
1,33,7,0,7,167,69,68,65,45,No
1,6,7,0,7,94,36,36,32,45,Yes
1,7,7,0,7,105,41,42,37,45,Yes
1,74,9,0,9,213,63,123,59,45,Yes
1,8,6,0,6,128,51,51,48,45,Yes
1,26,6,0,6,151,64,59,58,45,No
1,6,8,0,8,97,37,36,33,45,Yes
1,14,7,0,7,115,47,39,43,45,No
1,26,7,0,7,165,68,66,64,45,No
1,26,8,0,8,171,74,66,69,45,No
1,26,7,0,7,130,51,57,47,45,No
1,181,20,1,15,1431,378,1186,378,53,Yes
1,22,7,0,7,132,52,54,48,45,No
1,29,6,0,6,166,72,67,64,45,No
1,1128,22,2,22,3239,1676,1667,1440,45,Yes
1,44,7,0,7,172,77,75,69,45,Yes
1,21,19,0,13,534,162,304,146,53,No
1,7,6,0,6,82,31,31,27,45,No
1,515,17,6,17,1650,775,770,740,45,Yes
1,231,13,0,13,814,339,372,311,45,Yes
1,65,9,0,9,252,110,111,106,45,Yes
1,1516,30,4,30,4847,2199,2347,2084,45,Yes
1,66,7,0,7,262,117,117,113,45,Yes
1,262,9,0,9,934,460,460,437,45,No
1,13,20,0,13,1000,287,397,189,45,Yes
1,1203,19,0,19,3945,1856,1922,1762,45,Yes
1,45,6,0,6,171,76,76,70,45,No
1,66,6,0,6,237,110,110,101,45,No
1,46,11,0,11,194,79,88,73,45,Yes
1,142,8,0,8,266,213,213,213,37,Yes
1,314,7,1,7,870,425,425,411,45,Yes
1,151,7,0,7,526,253,252,238,45,Yes
1,4,6,0,6,80,29,29,26,45,No
1,16,13,0,13,201,64,89,60,45,Yes
1,27,7,0,7,314,138,138,134,45,Yes
1,32,9,0,9,118,31,59,27,45,No
1,8,7,0,7,88,32,32,29,45,Yes
1,1069,31,4,31,3664,1610,1815,1501,45,Yes
1,216,10,0,10,721,351,345,325,45,Yes
